#SampleID	PC1	PC2	PC3
Plate3-C3	0.2780849658	0.0970977252	-0.1303780602
Plate4-G2	0.1404117404	-0.2093467608	0.0419698857
Plate3-D4	-0.145672785	0.0701609882	0.0854743147
Plate3-B4	-0.0600190692	0.0478832575	0.0207515738
Plate3-D7	-0.0456646721	0.0593130285	0.0491473207
Plate3-C4	-0.184896112	0.078807804	0.0199753531
Plate3-H7	-0.4690739643	0.1429823427	0.0054513557
Plate4-E1	-0.481495039	-0.2050600892	-0.0842913048
Plate3-E1	-0.3287698707	0.1276463934	-0.0557705284
Plate3-F4	-0.4930778359	0.1847204132	-0.0460239039
Plate3-G7	-0.5031345974	0.1826077804	0.027498402
Plate3-F7	-0.4737123886	0.138758447	-0.0059984027
Plate3-E4	-0.4515494972	0.1316581793	-0.0028826742
Plate3-H4	-0.5000702159	0.1602905022	3.51571458518E-05
Plate4-D1	-0.5016538126	-0.1511136941	-0.048571801
Plate3-D10	-0.5022494566	-0.1181482056	-0.0324441043
Plate3-E7	-0.4565831865	0.1518041673	0.0134984249
Plate4-G1	-0.5017065658	-0.1888273976	-0.0549320453
Plate4-F1	-0.4900014475	-0.192250007	-0.0687679524
Plate3-G10	-0.5080692995	-0.0833992605	-0.0241475855
Plate3-F10	-0.4966842174	-0.0535741976	-0.00209008
Plate3-E10	-0.4925585578	-0.1901861792	-0.0699057542
Plate3-G4	-0.4568594687	0.1674362069	0.0306219264
Plate3-A5	0.194194042	0.0428707402	0.1503198072
Plate3-C7	0.0030773963	0.0665164545	0.0896523327
Plate3-B10	0.0639019561	0.0577517695	0.0958004668
Plate3-E5	0.172510664	0.0369319733	0.1489859877
Plate4-B1	0.1892087725	0.0739072554	-0.0200475298
Plate3-E3	0.2348364476	0.0787625949	-0.1075323961
Plate3-B5	0.187885221	0.0419656622	0.1689289697
Plate3-G11	0.1229525592	-0.1864161066	-0.0165230959
Plate3-H3	0.1752043759	0.0821835396	-0.1219094153
Plate4-H1	0.0973355695	-0.2367496379	-0.0834264159
Plate3-H5	0.2129263787	0.0266612125	0.0711090603
Plate4-D2	0.1028212169	-0.2080145805	0.0319448724
Plate3-D11	0.1143283409	-0.1408305544	0.057181923
Plate3-G5	0.1419933561	0.0363396098	0.1654819441
Plate3-E8	0.132738554	0.0194152919	0.1461600529
Plate4-F2	0.1720214906	-0.2304955658	-0.0120103782
Plate3-H12	0.1740014685	0.0634112175	0.1200816445
Plate3-G3	0.1910417865	0.0847372383	-0.1208942335
Plate3-H2	0.225779862	0.1195406545	-0.1881333343
Plate3-D8	0.0833518968	0.0358946713	0.1126460489
Plate3-B8	0.0881561429	0.034656712	0.119982342
Plate3-C11	0.1529999624	-0.1928191232	-0.0484928724
Plate3-B7	0.0558894816	0.0650490287	0.0907694333
Plate3-D3	0.2402658501	0.0893664557	-0.1321990419
Plate4-E2	0.0766034926	-0.2266518729	0.0123164179
Plate3-C5	0.1773140234	0.0303085165	0.1411546111
Plate4-B2	0.0932635811	-0.1843495443	-0.004432935
Plate4-C1	0.0860745086	0.0618657944	0.1539414774
Plate3-H8	-0.1311087917	0.0571622487	0.0439639861
Plate4-C2	0.1481939425	-0.1781470037	-0.043481445
Plate3-E11	0.1061163424	-0.2009274451	-0.0055097151
Plate3-F11	0.137952647	-0.219353942	-0.0118901141
Plate3-F1	0.2234457597	0.0897154247	-0.126076172
Plate3-D5	0.1642870795	0.0267864205	0.1235418505
Plate3-F5	0.1791547821	0.0334436964	0.1535871981
Plate3-G2	0.1349560549	0.0663259965	-0.0758780415
Plate3-H10	0.1637178626	-0.2002385023	0.0005087702
Plate3-C2	0.2633508439	0.0946104675	-0.1828457092
Plate3-D2	0.1907765148	0.0959375867	-0.1485083507
Plate3-E2	0.2090191867	0.0838752183	-0.1332910706
Plate3-C10	0.1056059753	0.0558912012	0.0788004387
Plate3-C1	0.2133984726	0.0740671821	-0.0740141846
Plate3-F2	0.2003492865	0.0696708933	-0.1035867416
Plate3-F3	0.2851456315	0.0888783972	-0.1309628302
Plate3-A8	0.1274771492	0.0286030027	0.0851893361
Plate3-D1	0.2788488291	0.0901987446	-0.1333145352
Plate3-H9	0.1280861298	0.0545452342	0.0681119507
Plate3-A11	0.1080819601	-0.193460714	0.0425081974
Plate3-B11	0.1157103258	-0.1723907126	-0.0304186799
Plate3-C8	0.1806655816	0.0264104543	0.1084592778
Plate3-B3	0.2373961802	0.0946243709	-0.1589348632
Plate3-A10	0.1474224443	0.0532848541	0.0933176145
Plate3-B2	0.244276765	0.0894160744	-0.1283514283
